order_item_id,order_id,product_id,quantity,unit_price
OI001,ORD1001,P007,2,836.17
OI002,ORD1001,P012,1,671.78
OI003,ORD1002,P014,4,574.59
OI004,ORD1003,P011,4,1305.12
OI005,ORD1004,P015,1,2109.1
OI006,ORD1004,P004,1,437.82
OI007,ORD1005,P013,1,1457.74
OI008,ORD1006,P014,5,574.59
OI009,ORD1007,P004,1,437.82
OI010,ORD1008,P005,2,2093.49
OI011,ORD1008,P014,1,574.59
OI012,ORD1009,P001,1,505.08
OI013,ORD1009,P014,1,574.59
OI014,ORD1010,P013,1,1457.74
OI015,ORD1011,P006,2,2319.44
OI016,ORD1012,P015,1,2109.1
OI017,ORD1012,P012,2,671.78
OI018,ORD1013,P007,1,836.17
OI019,ORD1014,P001,3,505.08
OI020,ORD1015,P009,1,774.41
OI021,ORD1015,P008,4,1056.58
