delivery_id,order_id,courier,shipment_date,delivery_date,delivery_status,tracking_number
DEL3001,ORD1001,LBC,,,Returned,TRK356598
DEL3002,ORD1002,Ninja Van,2025-06-25,2025-06-27,Delivered,TRK861416
DEL3003,ORD1003,GoGo Xpress,2025-08-08,2025-08-13,Delivered,TRK613864
DEL3004,ORD1004,LBC,2025-08-18,,In Transit,TRK671912
DEL3005,ORD1005,GoGo Xpress,,,Not Shipped,TRK723655
DEL3006,ORD1006,GoGo Xpress,2025-07-26,2025-07-29,Delivered,TRK425223
DEL3007,ORD1007,GoGo Xpress,2025-07-06,2025-07-11,Delivered,TRK894624
DEL3008,ORD1008,LBC,2025-06-12,2025-06-14,Delivered,TRK746404
DEL3009,ORD1009,J&T Express,2025-08-03,,In Transit,TRK472481
DEL3010,ORD1010,Ninja Van,2025-08-02,,In Transit,TRK789920
DEL3011,ORD1011,LBC,2025-06-22,2025-06-23,Delivered,TRK783370
DEL3012,ORD1012,Flash Express,2025-08-02,,In Transit,TRK629576
DEL3013,ORD1013,GoGo Xpress,,,Not Shipped,TRK120739
DEL3014,ORD1014,Flash Express,2025-08-18,,In Transit,TRK593753
DEL3015,ORD1015,Flash Express,2025-07-06,2025-07-11,Delivered,TRK521017
